Month,Day,Day_Name,Event,Secondary
June,1,Tuesday,,
June,2,Wednesday,,
June,3,Thursday,,
June,4,Friday,,
June,5,Saturday,Fit Test,
June,6,Sunday,,
June,7,Monday,Plyometric Cardio Circuit,
June,8,Tuesday,Cardio Power & Resistance,
June,9,Wednesday,Cardio Recovery,
June,10,Thursday,Pure Cardio,
June,11,Friday,,
June,12,Saturday,,
June,13,Sunday,,
June,14,Monday,Plyometric Cardio Circuit ,
June,15,Tuesday,Cardio Power & Resistance,
June,16,Wednesday,Pure Cardio,
June,17,Thursday,,
June,18,Friday,Plyometric Cardio Circuit,
June,19,Saturday,Cardio Recovery,
June,20,Sunday,Cardio Power & Resistance,
June,21,Monday,Pure Cardio,Cardio Abs
June,22,Tuesday,Fit Test,
June,23,Wednesday,,
June,24,Thursday,,
June,25,Friday,,
June,26,Saturday,,
June,27,Sunday,Plyometric Cardio Circuit,
June,28,Monday,Pure Cardio,Cardio Abs
June,29,Tuesday,Cardio Recovery,
June,30,Wednesday,Cardio Power & Resistance,
July,1,Thursday,,
July,2,Friday,,
July,3,Saturday,,
July,4,Sunday,,
July,5,Monday,,
July,6,Tuesday,Plyometric Cardio Circuit,
July,7,Wednesday,,
July,8,Thursday,,
July,9,Friday,Pure Cardio,Cardio Abs
July,10,Saturday,,
July,11,Sunday,Cardio Power & Resistance,
July,12,Monday,Plyometric Cardio Circuit,
July,13,Tuesday,,
July,14,Wednesday,,
July,15,Thursday,,
July,16,Friday,Cardio Recovery,
July,17,Saturday,,
July,18,Sunday,,
July,19,Monday,,
July,20,Tuesday,,
July,21,Wednesday,,
July,22,Thursday,,
July,23,Friday,,
July,24,Saturday,,
July,25,Sunday,,
July,26,Monday,,
July,27,Tuesday,,
July,28,Wednesday,,
July,29,Thursday,Pure Cardio,Cardio Abs
July,30,Friday,,
July,31,Saturday,,
August,1,Sunday,,
August,2,Monday,,
August,3,Tuesday,,
August,4,Wednesday,,
August,5,Thursday,,
August,6,Friday,,
August,7,Saturday,,
August,8,Sunday,,
August,9,Monday,,
August,10,Tuesday,,
August,11,Wednesday,,
August,12,Thursday,,
August,13,Friday,,
August,14,Saturday,,
August,15,Sunday,,
August,16,Monday,,
August,17,Tuesday,,
August,18,Wednesday,,
August,19,Thursday,,
August,20,Friday,,
August,21,Saturday,,
August,22,Sunday,,
August,23,Monday,,
August,24,Tuesday,,
August,25,Wednesday,,
August,26,Thursday,,
August,27,Friday,,
August,28,Saturday,,
August,29,Sunday,,
August,30,Monday,,
August,31,Tuesday,,
